"AF3","F7","F3","FC5","T7","P7","O1","O2","FC6","F4","F8","AF4"
4116.4103,4131.2821,4135.3846,4146.1538,4131.7949,4085.641,4109.7436,4122.5641,4113.8462,4120.5128,4165.641,4134.359
4113.3333,4127.1795,4131.7949,4134.359,4135.3846,4089.7436,4117.9487,4126.1538,4118.4615,4119.4872,4162.0513,4130.7692
4107.1795,4122.0513,4125.1282,4126.1538,4134.359,4103.0769,4130.2564,4132.8205,4110.2564,4109.7436,4137.4359,4116.4103
4119.4872,4130.2564,4135.3846,4136.4103,4134.359,4098.9744,4118.4615,4134.359,4111.2821,4115.8974,4146.6667,4125.1282
4132.8205,4137.9487,4146.1538,4145.641,4141.5385,4098.4615,4115.3846,4130.2564,4117.4359,4125.641,4171.7949,4145.641
4125.1282,4128.7179,4135.8974,4141.0256,4132.8205,4109.7436,4128.2051,4129.2308,4114.359,4120,4164.6154,4139.4872
4103.5897,4120.5128,4120.5128,4126.6667,4121.5385,4104.1026,4116.9231,4122.5641,4099.4872,4105.1282,4138.9744,4109.7436
4102.5641,4124.1026,4122.5641,4129.2308,4134.8718,4102.0513,4114.8718,4122.5641,4096.9231,4105.641,4140,4108.7179
4121.5385,4130.2564,4133.8462,4139.4872,4140,4109.2308,4127.6923,4130.2564,4105.1282,4113.8462,4151.2821,4127.1795
4128.7179,4130.7692,4137.4359,4141.5385,4129.2308,4107.1795,4125.1282,4130.7692,4105.641,4113.3333,4146.1538,4129.2308
4117.9487,4121.5385,4128.7179,4137.9487,4126.6667,4108.2051,4124.6154,4130.7692,4102.5641,4109.2308,4142.0513,4122.0513
4109.7436,4120.5128,4120.5128,4131.7949,4129.2308,4108.7179,4125.641,4131.7949,4097.9487,4104.1026,4142.0513,4120
4122.0513,4132.8205,4129.7436,4141.0256,4129.2308,4107.6923,4122.5641,4135.8974,4104.6154,4110.2564,4149.2308,4131.7949
4128.2051,4133.3333,4132.8205,4151.2821,4129.2308,4111.2821,4124.6154,4134.8718,4111.7949,4113.8462,4148.7179,4136.4103
4112.3077,4126.1538,4117.9487,4136.9231,4136.4103,4114.8718,4132.8205,4130.2564,4102.0513,4104.1026,4132.8205,4125.641
