AF3_Mean,AF3_Std,F7_Mean,F7_Std,F3_Mean,F3_Std,FC5_Mean,FC5_Std,T7_Mean,T7_Std,P7_Mean,P7_Std,O1_Mean,O1_Std,O2_Mean,O2_Std,FC6_Mean,FC6_Std,F4_Mean,F4_Std,F8_Mean,F8_Std,AF4_Mean,AF4_Std,class
4128.68423203,335.703480259,4130.18353616,130.33524495,4120.2213333,52.74027955,4160.14737466,371.668273844,4122.71256564,140.020043216,4121.08763574,73.8692248689,4127.29695302,40.3536221832,4131.48489597,43.4382808322,4147.24474528,126.215911546,4135.82184464,29.2491554742,4093.91304454,423.969881004,4126.91954125,234.01527827,0.0
4128.42780613,237.73713566,4113.68535836,66.3986083537,4117.80770574,398.582019974,4233.83195163,1172.5841346,4134.94940109,343.00915235,4136.6278633,146.118609143,4138.96674866,121.149610259,4132.51160277,145.401168933,4142.24403333,252.361932557,4139.4465998,139.85568726,4201.9894004,176.434689459,4143.17583294,196.764491067,1.0
4138.52627962,283.568861986,4121.99278682,47.8804752286,4127.91890255,246.340744434,4098.03390498,1230.01483525,4140.15049623,245.689210863,4103.46707697,66.0716065284,4097.73177763,56.8538853681,4103.79191883,55.0687099869,4097.23996988,74.8715101161,4115.62938405,79.1883811644,4078.96867863,110.227278337,4100.80869745,102.092198133,1.0
4100.29556621,129.114305879,4114.66818276,56.6699666767,4115.59984808,140.896626505,4028.74321015,929.434171303,4101.10445833,195.432543885,4113.16710956,70.7393472181,4112.88316207,65.4409664571,4110.73537872,63.6932555224,4117.44246552,79.7383710183,4121.19136039,67.1100365985,4113.22318975,81.7297426461,4109.57029123,120.546012726,1.0
4057.92239565,108.67867887,4116.92467418,21.7665289173,4079.49515459,75.378508991,3610.54033686,348.040379998,4023.40391742,126.434876224,4108.78334666,48.1966071356,4113.40511073,47.2214302313,4104.06827154,47.2077563706,4062.45563624,79.3603975283,4089.48598243,65.7820093611,3720.64920047,405.52198343,4111.53726501,88.3205909628,0.0
4048.02525776,72.2568904001,4106.7041706,13.8843053674,4107.65021015,31.5841089364,3941.93800239,178.789258912,4096.55797985,39.7636220398,4109.30424746,17.3491700571,4121.35323254,13.7290132332,4122.26483015,18.3759417852,4163.54382045,71.6036601397,4124.6896306,24.4917073968,3998.2579403,208.248221858,4161.24225269,47.5476561098,0.0
4134.40348008,364.934201235,4138.81858935,54.3755068394,4133.72174063,31.9492640146,4121.97238698,208.891026307,4131.22641933,31.062887869,4128.13128876,32.2569762293,4136.21200592,25.9452968656,4132.94188817,26.0235026245,4150.04905582,177.132968367,4143.97815187,21.0681059494,4196.33136174,365.127215766,4129.57669329,127.739010358,0.0
4083.51302283,49.4820005609,4097.7629748,10.641210959,4081.02564252,34.7250494802,4040.37149134,84.9540718656,4058.0981252,46.4745148461,4088.16474646,52.8633088042,4072.2673126,51.3521639744,4078.91378976,47.3042158893,4078.23541024,46.3602032379,4075.12618583,37.21606377,4175.98627638,37.388163123,4073.99959528,36.6377089862,0.0
4027.4248,103.522190854,4092.98638998,54.4579031858,4051.64067836,138.905076499,3810.90473759,490.02650543,3983.72057449,158.266240197,4040.74060843,157.764831818,4027.56965011,114.907694768,4017.38917267,159.457530455,3986.71923394,234.841301743,4042.22417084,136.167657644,4042.57344829,243.769796604,4013.73984966,148.67103666,1.0
4150.3136292,87.7620169786,4122.94056173,41.1310213006,4134.4151243,66.8270552256,4184.01058832,500.94773176,4150.93072409,114.428263564,4151.23125089,105.222208639,4147.95914494,99.0571762291,4161.62562377,103.792135368,4133.69428759,283.074410253,4149.11259082,95.5251757788,4166.58538457,125.2607949,4142.00583014,119.607598295,1.0
4108.98137437,130.33261703,4121.46779878,29.0176983743,4110.06000902,41.4386224271,4073.557269,853.40271406,4117.36367599,119.901002286,4107.85389443,19.3436510069,4107.85233627,24.618488713,4112.45421307,47.5986876461,4114.27480304,172.360813008,4115.28173951,59.2148424965,4053.00963799,736.187726561,4106.68121449,54.2817987088,0.0
4111.85124397,35.1082507653,4122.42225851,8.15235953982,4122.84415426,18.9258329004,4116.51390993,51.7227801628,4129.86361277,19.6491776564,4115.29368759,17.0399165599,4106.87397624,31.8290525099,4114.53900816,16.9010833377,4135.80105567,42.8980471769,4133.31151206,13.6358145707,4124.14620745,78.9553811428,4116.53209716,26.7953143991,1.0
4148.20109554,293.600662558,4128.89336959,62.3751018259,4132.14168073,129.465975116,4187.77094495,365.16784221,4121.34758191,113.85354413,4123.05608952,74.3381749113,4138.29754273,89.692942212,4136.42974771,87.5620697748,4161.66750668,138.815575846,4116.06748126,48.8949094826,4081.96726737,684.031930215,4117.801527,124.949072219,0.0
4114.29410764,172.038789775,4115.70528091,56.2903868023,4151.46441575,180.755443903,4152.32360119,654.777637433,4114.42751265,262.872311067,4094.57193747,267.555350016,4097.69169427,198.115330085,4087.09748473,275.797153986,4088.72896444,199.909258609,4092.17673389,249.002739168,4258.47867399,322.477145633,4098.95600048,153.569249921,1.0
4143.18486043,126.480388437,4131.9391194,29.5184293132,4129.43569777,53.0088095729,4209.4391807,261.660529301,4133.41988147,153.454719352,4127.41973307,126.490568752,4128.6403548,106.910223197,4131.20047546,104.308125265,4127.28344413,85.1491231904,4137.97259418,111.143144137,4137.66768632,146.230316749,4133.89440252,92.7879480733,1.0
4165.09636829,120.962856541,4120.54010887,23.1583429032,4173.30149446,125.947284737,4432.23264523,614.67540616,4187.76280466,179.303823104,4123.06555144,58.5527702446,4122.68804368,47.0435771089,4121.77951951,59.0887033487,4109.67764102,57.7727639267,4138.98800111,69.8220846341,4510.12109889,851.397509052,4149.07840399,77.2148467235,0.0
4103.60258174,115.772965353,4121.89418719,16.7601338292,4119.75982695,32.4204132202,4116.35965243,184.029760804,4114.92541944,66.2285812098,4113.70492209,45.8444512418,4115.97900177,24.7572372074,4121.75748807,29.20565797,4152.45874315,47.3124919163,4128.31161929,32.0314943196,4061.45085184,494.514967947,4119.16392828,50.340029202,0.0
4094.13202319,79.7564456016,4123.62247489,31.0412052862,4113.56355702,26.6715579276,4018.79214617,327.593910493,4068.0109134,107.389052627,4071.24386255,73.4968253116,4075.89852553,58.0142658088,4068.02946021,70.4173575321,4020.11893128,135.099532183,4079.26677489,73.7462010483,4124.00763596,106.598548439,4115.43262362,107.52691316,1.0
4090.5641,12.9880438825,4122.90598667,3.64388539847,4058.73506,8.73475995463,4080.37606667,59.7290791383,4204.8889,15.8348562591,4076.95726667,13.505091993,4106.0513,8.82330053347,4104.37606667,8.53373812188,4635.62392667,122.155359383,4099.14529333,13.9824573706,4411.14531333,100.709108284,4098.11964667,8.22786840989,0.0
4193.17893692,190.001687948,4164.97013333,89.2522391582,4100.29409211,165.398767612,4459.04236667,915.164325191,4124.76610681,102.937834058,4115.30006523,93.6912250985,4117.95423118,78.0375445081,4112.41614014,71.8480721021,4037.84027168,342.474805154,4155.66032652,34.9332242555,4383.93897634,923.58362771,4173.38296165,72.0275901258,0.0
4108.97805596,80.9044496707,4121.67893303,12.9390194733,4121.87451756,28.0708956959,4103.54538558,61.0592516729,4114.91279332,34.0127945625,4119.46231035,24.319553211,4123.6885426,16.3409534491,4135.4726637,21.7999466604,4142.21191599,63.3705321956,4122.15747562,27.2653949614,4050.81157248,167.671323758,4113.74466343,65.4256234996,0.0
